Date and Time (UTC),Gym Occupancy
2023-10-30 1:0,1
2023-10-30 1:30,1
2023-10-30 11:0,0
2023-10-30 11:30,5
2023-10-30 12:0,14
2023-10-30 12:30,10
2023-10-30 13:0,17
2023-10-30 13:30,18
2023-10-30 14:0,13
2023-10-30 14:30,12
2023-10-30 15:0,7
2023-10-30 15:30,10
2023-10-30 16:0,17
2023-10-30 16:30,20
2023-10-30 17:0,22
2023-10-30 17:30,21
2023-10-30 18:0,18
2023-10-30 18:30,15
2023-10-30 19:0,22
2023-10-30 19:30,26
2023-10-30 20:0,26
2023-10-30 20:30,31
2023-10-30 21:0,38
2023-10-30 21:30,43
2023-10-30 22:0,49
2023-10-30 22:30,40
2023-10-30 23:0,35
2023-10-30 23:30,33
2023-10-31 0:0,28
2023-10-31 0:30,24
2023-10-31 1:0,19
2023-10-31 1:30,13
2023-10-31 18:0,8
2023-10-31 18:30,12
2023-10-31 19:0,16
2023-10-31 19:30,21
2023-10-31 20:0,17
2023-10-31 20:30,24
2023-10-31 21:0,21
2023-10-31 21:30,32
2023-10-31 22:0,35
2023-10-31 22:30,31
2023-10-31 23:0,33
2023-10-31 23:30,26
2023-11-1 0:0,22
2023-11-1 0:30,18
2023-11-1 1:0,11
2023-11-1 1:30,8
2023-11-1 11:0,0
2023-11-1 11:30,6
2023-11-1 12:0,11
2023-11-1 12:30,12
2023-11-1 13:0,13
2023-11-1 13:30,11
2023-11-1 14:0,8
2023-11-1 14:30,8
2023-11-1 15:0,7
2023-11-1 15:30,5
2023-11-1 16:0,5
2023-11-1 16:30,5
2023-11-1 17:0,5
2023-11-1 17:30,10
2023-11-1 18:0,11
2023-11-1 18:30,15
2023-11-1 19:0,18
2023-11-1 19:30,15
2023-11-1 20:0,16
2023-11-1 20:30,23
2023-11-1 21:0,22
2023-11-1 21:30,21
2023-11-1 22:0,35
2023-11-1 22:30,44
2023-11-1 23:0,51
2023-11-1 23:30,46
2023-11-2 0:0,30
2023-11-2 0:30,23
2023-11-2 1:0,14
2023-11-2 1:30,4
2023-11-2 11:0,0
2023-11-2 11:30,1
2023-11-2 12:0,4
2023-11-2 12:30,5
2023-11-2 13:0,4
2023-11-2 13:30,8
2023-11-2 14:0,16
2023-11-2 14:30,21
