Date and Time (UTC),Gym Occupancy
2023-11-28 21:30,41
2023-11-28 22:0,47
2023-11-28 22:30,51
2023-11-28 23:0,50
2023-11-28 23:30,47
2023-11-29 0:0,39
2023-11-29 0:30,28
2023-11-29 1:0,20
2023-11-29 1:30,16
2023-11-29 11:0,0
2023-11-29 11:30,0
2023-11-29 12:0,0
2023-11-29 12:30,9
2023-11-29 13:0,15
2023-11-29 13:30,17
2023-11-29 14:0,11
2023-11-29 14:30,11
2023-11-29 15:0,13
2023-11-29 15:30,14
2023-11-29 16:0,13
2023-11-29 16:30,6
2023-11-29 17:0,9
2023-11-29 17:30,9
2023-11-29 18:0,15
2023-11-29 18:30,18
2023-11-29 19:0,19
2023-11-29 19:30,20
2023-11-29 20:0,23
2023-11-29 20:30,26
2023-11-29 21:0,29
2023-11-29 21:30,38
2023-11-29 22:0,42
2023-11-29 22:30,32
2023-11-29 23:0,46
2023-11-29 23:30,40
2023-11-30 0:0,40
2023-11-30 0:30,39
2023-11-30 1:0,27
2023-11-30 1:30,24
2023-11-30 11:0,0
2023-11-30 11:30,0
2023-11-30 12:0,0
2023-11-30 12:30,10
2023-11-30 13:0,13
2023-11-30 13:30,10
2023-11-30 14:0,12
2023-11-30 14:30,13
2023-11-30 15:0,17
2023-11-30 15:30,18
2023-11-30 16:0,19
2023-11-30 16:30,14
2023-11-30 17:0,16
2023-11-30 17:30,15
2023-11-30 18:0,12
2023-11-30 18:30,14
2023-11-30 19:0,9
2023-11-30 19:30,15
2023-11-30 20:0,25
2023-11-30 20:30,32
2023-11-30 21:0,37
2023-11-30 21:30,29
2023-11-30 22:0,32
2023-11-30 22:30,27
2023-11-30 23:0,30
2023-11-30 23:30,35
2023-12-1 0:0,32
2023-12-1 0:30,35
2023-12-1 1:0,27
2023-12-1 1:30,26
2023-12-1 11:0,0
2023-12-1 11:30,0
2023-12-1 12:0,1
2023-12-1 12:30,16
2023-12-1 13:0,17
2023-12-1 13:30,15
2023-12-1 14:0,18
2023-12-1 14:30,15
2023-12-1 15:0,21
2023-12-1 15:30,17
2023-12-1 16:0,21
2023-12-1 16:30,15
2023-12-1 17:0,14
2023-12-1 17:30,16
2023-12-1 18:0,21
2023-12-1 18:30,25
2023-12-1 19:0,24
2023-12-1 19:30,21
2023-12-1 20:0,10
2023-12-1 20:30,11
2023-12-1 21:0,16
2023-12-1 21:30,21
2023-12-1 22:0,23
2023-12-1 22:30,22
2023-12-1 23:0,33
2023-12-1 23:30,38
2023-12-2 0:0,38
2023-12-2 0:30,38
2023-12-2 1:0,38
2023-12-2 1:30,27
2023-12-2 11:0,0
2023-12-2 11:30,0
2023-12-2 12:0,0
2023-12-2 12:30,5
2023-12-2 13:0,8
2023-12-2 13:30,17
2023-12-2 14:0,20
2023-12-2 14:30,23
2023-12-2 15:0,23
2023-12-2 15:30,30
2023-12-2 16:0,34
2023-12-2 16:30,32
2023-12-2 17:0,36
2023-12-2 17:30,26
2023-12-2 18:0,21
2023-12-2 18:30,15
2023-12-2 19:0,17
2023-12-2 19:30,22
2023-12-2 20:0,17
2023-12-2 20:30,21
2023-12-2 21:0,5
2023-12-2 21:30,7
2023-12-2 22:0,7
2023-12-2 22:30,13
2023-12-2 23:0,10
2023-12-2 23:30,13
2023-12-3 0:0,16
2023-12-3 0:30,12
2023-12-3 1:0,11
2023-12-3 1:30,0
2023-12-3 11:0,0
2023-12-3 11:30,0
2023-12-3 12:0,0
2023-12-3 12:30,4
2023-12-3 13:0,4
2023-12-3 13:30,13
2023-12-3 14:0,13
2023-12-3 14:30,25
2023-12-3 15:0,38
2023-12-3 15:30,34
2023-12-3 16:0,36
2023-12-3 16:30,32
2023-12-3 17:0,19
2023-12-3 17:30,25
2023-12-3 18:0,26
2023-12-3 18:30,30
2023-12-3 19:0,30
2023-12-3 19:30,30
2023-12-3 20:0,24
2023-12-3 20:30,15
2023-12-3 21:0,29
2023-12-3 21:30,29
2023-12-3 22:0,22
2023-12-3 22:30,18
2023-12-3 23:0,11
2023-12-3 23:30,13
2023-12-4 0:0,21
2023-12-4 0:30,18
2023-12-4 1:0,14
2023-12-4 1:30,0
2023-12-4 11:0,0
2023-12-4 11:30,0
2023-12-4 12:0,0
2023-12-4 12:30,4
2023-12-4 13:0,5
2023-12-4 13:30,7
2023-12-4 14:0,8
2023-12-4 14:30,8
2023-12-4 15:0,8
2023-12-4 15:30,9
2023-12-4 16:0,11
2023-12-4 16:30,16
2023-12-4 17:0,16
2023-12-4 17:30,14
2023-12-4 18:0,18
2023-12-4 18:30,25
2023-12-4 19:0,26
2023-12-4 19:30,27
2023-12-4 20:0,29
2023-12-4 20:30,26
2023-12-4 21:0,21
2023-12-4 21:30,30
2023-12-4 22:0,31
2023-12-4 22:30,38
2023-12-4 23:0,43
2023-12-4 23:30,38
2023-12-5 0:0,43
2023-12-5 0:30,45
2023-12-5 1:0,36
2023-12-5 1:30,25
2023-12-5 18:0,6
2023-12-5 18:30,11
2023-12-5 19:0,17
2023-12-5 19:30,30
2023-12-5 20:0,32
2023-12-5 20:30,34
2023-12-5 21:0,32
2023-12-5 21:30,38
2023-12-5 22:0,45
2023-12-5 22:30,33
2023-12-5 23:0,29
2023-12-5 23:30,31
2023-12-6 0:0,34
2023-12-6 0:30,31
2023-12-6 1:0,25
2023-12-6 1:30,17
2023-12-6 11:0,0
2023-12-6 11:30,0
2023-12-6 12:0,0
2023-12-6 12:30,6
2023-12-6 13:0,14
2023-12-6 13:30,19
2023-12-6 14:0,19
2023-12-6 14:30,14
2023-12-6 15:0,13
2023-12-6 15:30,11
2023-12-6 16:0,10
2023-12-6 16:30,10
2023-12-6 17:0,7
2023-12-6 17:30,12
2023-12-6 18:0,11
2023-12-6 18:30,19
2023-12-6 19:0,26
2023-12-6 19:30,27
2023-12-6 20:0,37
2023-12-6 20:30,38
2023-12-6 21:0,38
2023-12-6 21:30,41
2023-12-6 22:0,41
2023-12-6 22:30,38
2023-12-6 23:0,48
2023-12-6 23:30,51
2023-12-7 0:0,45
2023-12-7 0:30,39
2023-12-7 1:0,30
2023-12-7 1:30,23
2023-12-7 11:0,0
2023-12-7 11:30,0
2023-12-7 12:0,1
2023-12-7 12:30,11
2023-12-7 13:0,19
2023-12-7 13:30,25
2023-12-7 14:0,21
2023-12-7 14:30,11
2023-12-7 15:0,18
2023-12-7 15:30,18
2023-12-7 16:0,19
2023-12-7 16:30,19
2023-12-7 17:0,13
2023-12-7 17:30,13
2023-12-7 18:0,15
2023-12-7 18:30,20
2023-12-7 19:0,21
2023-12-7 19:30,23
2023-12-7 20:0,26
2023-12-7 20:30,32
2023-12-7 21:0,38
2023-12-7 21:30,38
2023-12-7 22:0,32
2023-12-7 22:30,39
2023-12-7 23:0,38
2023-12-7 23:30,40
2023-12-8 0:0,43
2023-12-8 0:30,34
2023-12-8 1:0,27
2023-12-8 1:30,22
2023-12-8 11:0,0
2023-12-8 11:30,0
2023-12-8 12:0,0
2023-12-8 12:30,3
2023-12-8 13:0,6
2023-12-8 13:30,7
2023-12-8 14:0,8
2023-12-8 14:30,7
2023-12-8 15:0,9
2023-12-8 15:30,8
2023-12-8 16:0,8
2023-12-8 16:30,9
2023-12-8 17:0,10
2023-12-8 17:30,11
2023-12-8 18:0,14
2023-12-8 18:30,20
2023-12-8 19:0,25
2023-12-8 19:30,25
2023-12-8 20:0,22
2023-12-8 20:30,20
2023-12-8 21:0,19
2023-12-8 21:30,25
2023-12-8 22:0,23
2023-12-8 22:30,12
2023-12-8 23:0,14
2023-12-8 23:30,22
2023-12-9 0:0,24
2023-12-9 0:30,28
2023-12-9 1:0,27
2023-12-9 1:30,17
2023-12-9 11:0,0
2023-12-9 11:30,0
2023-12-9 12:0,2
2023-12-9 12:30,6
2023-12-9 13:0,7
2023-12-9 13:30,11
2023-12-9 14:0,15
2023-12-9 14:30,17
2023-12-9 15:0,20
2023-12-9 15:30,27
2023-12-9 16:0,26
2023-12-9 16:30,25
2023-12-9 17:0,23
2023-12-9 17:30,16
2023-12-9 18:0,20
2023-12-9 18:30,21
2023-12-9 19:0,19
2023-12-9 19:30,23
2023-12-9 20:0,22
2023-12-9 20:30,20
2023-12-9 21:0,20
2023-12-9 21:30,20
2023-12-9 22:0,22
2023-12-9 22:30,21
2023-12-9 23:0,19
2023-12-9 23:30,7
2023-12-10 0:0,8
2023-12-10 0:30,5
2023-12-10 1:0,3
2023-12-10 1:30,2
2023-12-10 11:0,0
2023-12-10 11:30,0
2023-12-10 12:0,0
2023-12-10 12:30,2
2023-12-10 13:0,6
2023-12-10 13:30,18
2023-12-10 14:0,28
2023-12-10 14:30,30
2023-12-10 15:0,35
2023-12-10 15:30,32
2023-12-10 16:0,31
2023-12-10 16:30,27
2023-12-10 17:0,20
2023-12-10 17:30,17
2023-12-10 18:0,21
2023-12-10 18:30,23
2023-12-10 19:0,25
2023-12-10 19:30,31
2023-12-10 20:0,21
2023-12-10 20:30,20
2023-12-10 21:0,23
2023-12-10 21:30,27
2023-12-10 22:0,24
2023-12-10 22:30,18
2023-12-10 23:0,22
2023-12-10 23:30,21
2023-12-11 0:0,26
2023-12-11 0:30,27
2023-12-11 1:0,19
2023-12-11 1:30,11
2023-12-11 11:0,0
2023-12-11 11:30,0
2023-12-11 12:0,0
2023-12-11 12:30,2
2023-12-11 13:0,5
2023-12-11 13:30,7
2023-12-11 14:0,10
2023-12-11 14:30,9
2023-12-11 15:0,12
2023-12-11 15:30,14
2023-12-11 16:0,12
2023-12-11 16:30,9
2023-12-11 17:0,8
2023-12-11 17:30,7
2023-12-11 18:0,8
2023-12-11 18:30,8
2023-12-11 19:0,16
2023-12-11 19:30,21
2023-12-11 20:0,21
2023-12-11 20:30,25
2023-12-11 21:0,17
2023-12-11 21:30,18
2023-12-11 22:0,23
2023-12-11 22:30,21
2023-12-11 23:0,20
2023-12-11 23:30,16
2023-12-12 0:0,18
2023-12-12 0:30,20
2023-12-12 1:0,25
2023-12-12 1:30,24
2023-12-12 18:0,6
2023-12-12 18:30,8
2023-12-12 19:0,14
2023-12-12 19:30,17
2023-12-12 20:0,23
2023-12-12 20:30,30
2023-12-12 21:0,30
2023-12-12 21:30,31
2023-12-12 22:0,35
2023-12-12 22:30,37
2023-12-12 23:0,46
2023-12-12 23:30,50
2023-12-13 0:0,46
2023-12-13 0:30,26
2023-12-13 1:0,19
2023-12-13 1:30,8
2023-12-13 11:0,0
2023-12-13 11:30,0
2023-12-13 12:0,0
2023-12-13 12:30,10
2023-12-13 13:0,14
2023-12-13 13:30,16
2023-12-13 14:0,15
2023-12-13 14:30,20
2023-12-13 15:0,16
2023-12-13 15:30,22
2023-12-13 16:0,21
2023-12-13 16:30,21
2023-12-13 17:0,16
2023-12-13 17:30,20
2023-12-13 18:0,16
2023-12-13 18:30,22
2023-12-13 19:0,24
2023-12-13 19:30,20
2023-12-13 20:0,19
2023-12-13 20:30,14
2023-12-13 21:0,17
2023-12-13 21:30,22
2023-12-13 22:0,25
2023-12-13 22:30,25
2023-12-13 23:0,31
2023-12-13 23:30,34
2023-12-14 0:0,29
2023-12-14 0:30,20
2023-12-14 1:0,14
2023-12-14 1:30,10
2023-12-14 11:0,0
2023-12-14 11:30,0
2023-12-14 12:0,1
2023-12-14 12:30,5
2023-12-14 13:0,14
2023-12-14 13:30,17
2023-12-14 14:0,18
2023-12-14 14:30,17
2023-12-14 15:0,14
2023-12-14 15:30,13
2023-12-14 16:0,14
2023-12-14 16:30,11
2023-12-14 17:0,13
2023-12-14 17:30,15
2023-12-14 18:0,19
2023-12-14 18:30,19
2023-12-14 19:0,22
2023-12-14 19:30,22
2023-12-14 20:0,21
2023-12-14 20:30,24
2023-12-14 21:0,32
2023-12-14 21:30,30
2023-12-14 22:0,33
2023-12-14 22:30,39
2023-12-14 23:0,30
2023-12-14 23:30,29
2023-12-15 0:0,26
2023-12-15 0:30,18
2023-12-15 1:0,16
2023-12-15 1:30,15
2023-12-15 11:0,0
2023-12-15 11:30,0
2023-12-15 12:0,0
2023-12-15 12:30,9
2023-12-15 13:0,16
2023-12-15 13:30,12
2023-12-15 14:0,16
2023-12-15 14:30,10
2023-12-15 15:0,9
2023-12-15 15:30,10
2023-12-15 16:0,7
2023-12-15 16:30,12
2023-12-15 17:0,13
2023-12-15 17:30,10
2023-12-15 18:0,17
2023-12-15 18:30,22
2023-12-15 19:0,31
2023-12-15 19:30,28
2023-12-15 20:0,21
2023-12-15 20:30,16
2023-12-15 21:0,19
2023-12-15 21:30,23
2023-12-15 22:0,25
2023-12-15 22:30,31
2023-12-15 23:0,32
2023-12-15 23:30,21
2023-12-16 0:0,26
2023-12-16 0:30,25
2023-12-16 1:0,27
2023-12-16 1:30,23
2023-12-16 11:0,0
2023-12-16 11:30,0
2023-12-16 12:0,0
2023-12-16 12:30,7
2023-12-16 13:0,9
2023-12-16 13:30,13
2023-12-16 14:0,16
2023-12-16 14:30,25
2023-12-16 15:0,32
2023-12-16 15:30,27
2023-12-16 16:0,28
2023-12-16 16:30,20
2023-12-16 17:0,20
2023-12-16 17:30,11
2023-12-16 18:0,13
2023-12-16 18:30,23
2023-12-16 19:0,19
2023-12-16 19:30,23
2023-12-16 20:0,27
2023-12-16 20:30,25
2023-12-16 21:0,35
2023-12-16 21:30,31
2023-12-16 22:0,25
2023-12-16 22:30,23
2023-12-16 23:0,9
2023-12-16 23:30,13
2023-12-17 0:0,14
2023-12-17 0:30,8
2023-12-17 1:0,8
2023-12-17 1:30,2
2023-12-17 11:0,0
2023-12-17 11:30,0
2023-12-17 12:0,0
2023-12-17 12:30,2
2023-12-17 13:0,10
2023-12-17 13:30,12
2023-12-17 14:0,16
2023-12-17 14:30,23
2023-12-17 15:0,16
2023-12-17 15:30,15
2023-12-17 16:0,25
2023-12-17 16:30,24
2023-12-17 17:0,28
2023-12-17 17:30,26
2023-12-17 18:0,22
2023-12-17 18:30,19
2023-12-17 19:0,14
2023-12-17 19:30,17
2023-12-17 20:0,13
2023-12-17 20:30,11
2023-12-17 21:0,13
2023-12-17 21:30,8
2023-12-17 22:0,9
2023-12-17 22:30,10
2023-12-17 23:0,14
2023-12-17 23:30,16
2023-12-18 0:0,14
2023-12-18 0:30,13
2023-12-18 1:0,6
2023-12-18 1:30,3
2023-12-18 11:0,0
2023-12-18 11:30,0
2023-12-18 12:0,0
2023-12-18 12:30,0
2023-12-18 13:0,3
2023-12-18 13:30,2
2023-12-18 14:0,3
2023-12-18 14:30,5
2023-12-18 15:0,6
2023-12-18 15:30,11
2023-12-18 16:0,19
2023-12-18 16:30,14
2023-12-18 17:0,15
2023-12-18 17:30,13
2023-12-18 18:0,9
2023-12-18 18:30,15
2023-12-18 19:0,11
2023-12-18 19:30,15
2023-12-18 20:0,22
2023-12-18 20:30,22
2023-12-18 21:0,28
2023-12-18 21:30,35
2023-12-18 22:0,35
2023-12-18 22:30,36
2023-12-18 23:0,48
2023-12-18 23:30,44
2023-12-19 0:0,42
2023-12-19 0:30,35
2023-12-19 1:0,25
2023-12-19 1:30,14
2023-12-19 18:0,2
2023-12-19 18:30,4
2023-12-19 19:0,6
2023-12-19 19:30,12
2023-12-19 20:0,20
2023-12-19 20:30,30
2023-12-19 21:0,30
2023-12-19 21:30,31
2023-12-19 22:0,24
2023-12-19 22:30,24
2023-12-19 23:0,31
2023-12-19 23:30,31
2023-12-20 0:0,25
2023-12-20 0:30,23
2023-12-20 1:0,16
2023-12-20 1:30,9
2023-12-20 11:0,0
2023-12-20 11:30,0
2023-12-20 12:0,0
2023-12-20 12:30,4
2023-12-20 13:0,3
2023-12-20 13:30,6
2023-12-20 14:0,12
2023-12-20 14:30,12
2023-12-20 15:0,13
2023-12-20 15:30,18
2023-12-20 16:0,17
2023-12-20 16:30,24
2023-12-20 17:0,21
2023-12-20 17:30,24
2023-12-20 18:0,28
2023-12-20 18:30,29
2023-12-20 19:0,33
2023-12-20 19:30,26
2023-12-20 20:0,19
2023-12-20 20:30,19
2023-12-20 21:0,19
2023-12-20 21:30,23
2023-12-20 22:0,32
2023-12-20 22:30,34
2023-12-20 23:0,34
2023-12-20 23:30,33
2023-12-21 0:0,24
2023-12-21 0:30,24
2023-12-21 1:0,24
2023-12-21 1:30,17
2023-12-21 11:0,0
2023-12-21 11:30,0
2023-12-21 12:0,0
2023-12-21 12:30,1
2023-12-21 13:0,1
2023-12-21 13:30,4
2023-12-21 14:0,7
2023-12-21 14:30,12
2023-12-21 15:0,20
2023-12-21 15:30,22
2023-12-21 16:0,22
2023-12-21 16:30,15
2023-12-21 17:0,13
2023-12-21 17:30,11
2023-12-21 18:0,9
2023-12-21 18:30,12
2023-12-21 19:0,11
2023-12-21 19:30,9
2023-12-21 20:0,13
2023-12-21 20:30,13
2023-12-21 21:0,19
2023-12-21 21:30,21
2023-12-21 22:0,20
2023-12-21 22:30,24
2023-12-21 23:0,16
2023-12-21 23:30,13
2023-12-22 0:0,10
2023-12-22 0:30,5
2023-12-22 1:0,6
2023-12-22 1:30,7
2023-12-22 11:0,0
2023-12-22 11:30,0
2023-12-22 12:0,0
2023-12-22 12:30,5
2023-12-22 13:0,7
2023-12-22 13:30,6
2023-12-22 14:0,7
2023-12-22 14:30,13
2023-12-22 15:0,12
2023-12-22 15:30,16
2023-12-22 16:0,14
2023-12-22 16:30,10
2023-12-22 17:0,8
2023-12-22 17:30,10
2023-12-22 18:0,15
2023-12-22 18:30,18
2023-12-22 19:0,21
2023-12-22 19:30,23
2023-12-22 20:0,20
2023-12-22 20:30,18
2023-12-22 21:0,20
2023-12-22 21:30,15
2023-12-22 22:0,13
2023-12-22 22:30,10
2023-12-22 23:0,14
2023-12-22 23:30,14
2023-12-23 0:0,16
2023-12-23 0:30,17
2023-12-23 1:0,14
2023-12-23 1:30,19
2023-12-23 11:0,0
2023-12-23 11:30,0
2023-12-23 12:0,0
2023-12-23 12:30,7
2023-12-23 13:0,11
2023-12-23 13:30,9
2023-12-23 14:0,2
2023-12-23 14:30,6
2023-12-23 15:0,6
2023-12-23 15:30,12
2023-12-23 16:0,15
2023-12-23 16:30,14
2023-12-23 17:0,13
2023-12-23 17:30,12
2023-12-23 18:0,12
2023-12-23 18:30,11
2023-12-23 19:0,11
2023-12-23 19:30,13
2023-12-23 20:0,15
2023-12-23 20:30,11
2023-12-23 21:0,12
2023-12-23 21:30,6
2023-12-23 22:0,4
2023-12-23 22:30,4
2023-12-23 23:0,6
2023-12-23 23:30,9
2023-12-24 0:0,9
2023-12-24 0:30,8
2023-12-24 1:0,0
2023-12-24 1:30,0
2023-12-24 11:0,0
2023-12-24 11:30,0
2023-12-24 12:0,0
2023-12-24 12:30,0
2023-12-24 13:0,0
2023-12-24 13:30,0
2023-12-24 14:0,0
2023-12-24 14:30,0
2023-12-24 15:0,0
2023-12-24 15:30,0
2023-12-24 16:0,0
2023-12-24 16:30,0
2023-12-24 17:0,0
2023-12-24 17:30,0
2023-12-24 18:0,0
2023-12-24 18:30,0
2023-12-24 19:0,0
2023-12-24 19:30,0
2023-12-24 20:0,0
2023-12-24 20:30,0
2023-12-24 21:0,0
2023-12-24 21:30,0
2023-12-24 22:0,0
2023-12-24 22:30,0
2023-12-24 23:0,0
2023-12-24 23:30,0
2023-12-25 0:0,0
2023-12-25 0:30,0
2023-12-25 1:0,0
2023-12-25 1:30,0
2023-12-25 11:0,0
2023-12-25 11:30,0
2023-12-25 12:0,0
2023-12-25 12:30,0
2023-12-25 13:0,0
2023-12-25 13:30,0
2023-12-25 14:0,0
2023-12-25 14:30,0
2023-12-25 15:0,0
2023-12-25 15:30,0
2023-12-25 16:0,0
2023-12-25 16:30,0
2023-12-25 17:0,0
2023-12-25 17:30,0
2023-12-25 18:0,0
2023-12-25 18:30,0
2023-12-25 19:0,0
2023-12-25 19:30,0
2023-12-25 20:0,0
2023-12-25 20:30,0
2023-12-25 21:0,0
2023-12-25 21:30,0
2023-12-25 22:0,0
2023-12-25 22:30,0
2023-12-25 23:0,0
2023-12-25 23:30,0
2023-12-26 0:0,0
2023-12-26 0:30,0
2023-12-26 1:0,0
2023-12-26 1:30,0
2023-12-26 18:0,15
2023-12-26 18:30,8
2023-12-26 19:0,5
2023-12-26 19:30,6
2023-12-26 20:0,7
2023-12-26 20:30,11
2023-12-26 21:0,15
2023-12-26 21:30,11
2023-12-26 22:0,10
2023-12-26 22:30,8
2023-12-26 23:0,5
2023-12-26 23:30,5
2023-12-27 0:0,11
2023-12-27 0:30,9
2023-12-27 1:0,9
2023-12-27 1:30,8
2023-12-27 11:0,0
2023-12-27 11:30,0
2023-12-27 12:0,0
2023-12-27 12:30,1
2023-12-27 13:0,6
2023-12-27 13:30,10
2023-12-27 14:0,12
2023-12-27 14:30,14
2023-12-27 15:0,11
2023-12-27 15:30,11
2023-12-27 16:0,9
2023-12-27 16:30,12
2023-12-27 17:0,12
2023-12-27 17:30,13
2023-12-27 18:0,18
2023-12-27 18:30,21
2023-12-27 19:0,21
2023-12-27 19:30,16
2023-12-27 20:0,13
2023-12-27 20:30,16
2023-12-27 21:0,19
2023-12-27 21:30,17
2023-12-27 22:0,17
2023-12-27 22:30,17
2023-12-27 23:0,18
2023-12-27 23:30,14
2023-12-28 0:0,8
2023-12-28 0:30,7
2023-12-28 1:0,9
2023-12-28 1:30,7
2023-12-28 11:0,0
2023-12-28 11:30,0
2023-12-28 12:0,0
2023-12-28 12:30,6
2023-12-28 13:0,8
2023-12-28 13:30,12
2023-12-28 14:0,9
2023-12-28 14:30,11
2023-12-28 15:0,18
2023-12-28 15:30,15
2023-12-28 16:0,18
2023-12-28 16:30,21
2023-12-28 17:0,14
2023-12-28 17:30,14
2023-12-28 18:0,17
2023-12-28 18:30,16
2023-12-28 19:0,24
2023-12-28 19:30,23
2023-12-28 20:0,19
2023-12-28 20:30,25
2023-12-28 21:0,16
2023-12-28 21:30,23
2023-12-28 22:0,21
2023-12-28 22:30,16
2023-12-28 23:0,15
2023-12-28 23:30,22
2023-12-29 0:0,18
2023-12-29 0:30,23
2023-12-29 1:0,23
2023-12-29 1:30,18
2023-12-29 11:0,0
2023-12-29 11:30,0
2023-12-29 12:0,0
2023-12-29 12:30,1
2023-12-29 13:0,2
2023-12-29 13:30,4
2023-12-29 14:0,7
2023-12-29 14:30,10
2023-12-29 15:0,15
2023-12-29 15:30,15
2023-12-29 16:0,17
2023-12-29 16:30,11
2023-12-29 17:0,8
2023-12-29 17:30,12
2023-12-29 18:0,14
2023-12-29 18:30,20
2023-12-29 19:0,22
2023-12-29 19:30,18
2023-12-29 20:0,18
2023-12-29 20:30,17
2023-12-29 21:0,15
2023-12-29 21:30,11
2023-12-29 22:0,8
2023-12-29 22:30,10
2023-12-29 23:0,15
2023-12-29 23:30,17
2023-12-30 0:0,12
2023-12-30 0:30,9
2023-12-30 1:0,6
2023-12-30 1:30,6
2023-12-30 11:0,0
2023-12-30 11:30,0
2023-12-30 12:0,0
2023-12-30 12:30,1
2023-12-30 13:0,4
2023-12-30 13:30,5
2023-12-30 14:0,5
2023-12-30 14:30,7
2023-12-30 15:0,7
2023-12-30 15:30,9
2023-12-30 16:0,15
2023-12-30 16:30,15
2023-12-30 17:0,13
2023-12-30 17:30,13
2023-12-30 18:0,10
2023-12-30 18:30,12
2023-12-30 19:0,15
2023-12-30 19:30,22
2023-12-30 20:0,24
2023-12-30 20:30,24
2023-12-30 21:0,26
2023-12-30 21:30,22
2023-12-30 22:0,24
2023-12-30 22:30,15
2023-12-30 23:0,17
2023-12-30 23:30,15
2023-12-31 0:0,13
2023-12-31 0:30,13
2023-12-31 1:0,4
2023-12-31 1:30,3
2023-12-31 11:0,0
2023-12-31 11:30,0
2023-12-31 12:0,0
2023-12-31 12:30,4
2023-12-31 13:0,6
2023-12-31 13:30,14
2023-12-31 14:0,16
2023-12-31 14:30,15
2023-12-31 15:0,11
2023-12-31 15:30,13
2023-12-31 16:0,11
2023-12-31 16:30,10
2023-12-31 17:0,8
2023-12-31 17:30,15
2023-12-31 18:0,26
2023-12-31 18:30,43
2023-12-31 19:0,43
2023-12-31 19:30,45
2023-12-31 20:0,36
2023-12-31 20:30,24
2023-12-31 21:0,21
2023-12-31 21:30,9
2023-12-31 22:0,9
2023-12-31 22:30,11
2023-12-31 23:0,13
2023-12-31 23:30,13
2024-1-1 0:0,8
2024-1-1 0:30,4
2024-1-1 1:0,0
2024-1-1 1:30,0
2024-1-1 11:0,0
2024-1-1 11:30,0
2024-1-1 12:0,0
2024-1-1 12:30,0
2024-1-1 13:0,0
2024-1-1 13:30,0
2024-1-1 14:0,0
2024-1-1 14:30,0
2024-1-1 15:0,0
2024-1-1 15:30,0
2024-1-1 16:0,0
2024-1-1 16:30,0
2024-1-1 17:0,0
2024-1-1 17:30,0
2024-1-1 18:0,0
2024-1-1 18:30,0
2024-1-1 19:0,0
2024-1-1 19:30,0
2024-1-1 20:0,0
2024-1-1 20:30,0
2024-1-1 21:0,0
2024-1-1 21:30,0
2024-1-1 22:0,0
2024-1-1 22:30,0
2024-1-1 23:0,0
2024-1-1 23:30,0
2024-1-2 0:0,0
2024-1-2 0:30,0
2024-1-2 1:0,0
2024-1-2 1:30,0
2024-1-2 18:0,4
2024-1-2 18:30,6
2024-1-2 19:0,14
2024-1-2 19:30,19
2024-1-2 20:0,28
2024-1-2 20:30,34
2024-1-2 21:0,37
2024-1-2 21:30,37
2024-1-2 22:0,34
2024-1-2 22:30,40
2024-1-2 23:0,36
2024-1-2 23:30,30
2024-1-3 0:0,24
2024-1-3 0:30,18
2024-1-3 1:0,19
2024-1-3 1:30,13
2024-1-3 11:0,0
2024-1-3 11:30,0
2024-1-3 12:0,0
2024-1-3 12:30,4
2024-1-3 13:0,9
2024-1-3 13:30,10
2024-1-3 14:0,7
2024-1-3 14:30,7
2024-1-3 15:0,12
2024-1-3 15:30,14
2024-1-3 16:0,7
2024-1-3 16:30,8
2024-1-3 17:0,4
2024-1-3 17:30,9
2024-1-3 18:0,12
2024-1-3 18:30,15
2024-1-3 19:0,15
2024-1-3 19:30,17
2024-1-3 20:0,22
2024-1-3 20:30,23
2024-1-3 21:0,31
2024-1-3 21:30,41
2024-1-3 22:0,46
2024-1-3 22:30,43
2024-1-3 23:0,33
2024-1-3 23:30,35
2024-1-4 0:0,39
2024-1-4 0:30,38
2024-1-4 1:0,33
2024-1-4 1:30,22
2024-1-4 11:0,0
2024-1-4 11:30,0
2024-1-4 12:0,0
2024-1-4 12:30,7
2024-1-4 13:0,10
2024-1-4 13:30,8
2024-1-4 14:0,8
2024-1-4 14:30,8
2024-1-4 15:0,5
2024-1-4 15:30,8
2024-1-4 16:0,12
2024-1-4 16:30,19
2024-1-4 17:0,22
2024-1-4 17:30,15
2024-1-4 18:0,13
2024-1-4 18:30,13
2024-1-4 19:0,11
2024-1-4 19:30,8
2024-1-4 20:0,10
2024-1-4 20:30,19
2024-1-4 21:0,25
2024-1-4 21:30,33
2024-1-4 22:0,36
2024-1-4 22:30,40
2024-1-4 23:0,43
2024-1-4 23:30,44
2024-1-5 0:0,38
2024-1-5 0:30,28
2024-1-5 1:0,17
2024-1-5 1:30,4
2024-1-5 11:0,0
2024-1-5 11:30,0
2024-1-5 12:0,0
2024-1-5 12:30,8
2024-1-5 13:0,14
2024-1-5 13:30,13
2024-1-5 14:0,14
2024-1-5 14:30,16
2024-1-5 15:0,13
2024-1-5 15:30,15
2024-1-5 16:0,20
2024-1-5 16:30,19
2024-1-5 17:0,17
2024-1-5 17:30,12
2024-1-5 18:0,8
2024-1-5 18:30,14
2024-1-5 19:0,15
2024-1-5 19:30,22
2024-1-5 20:0,21
2024-1-5 20:30,17
2024-1-5 21:0,23
2024-1-5 21:30,22
2024-1-5 22:0,30
2024-1-5 22:30,37
2024-1-5 23:0,36
2024-1-5 23:30,52
